DATE,TEAM_1,TEAM_2,WINNER,MARGIN,VENUE,CATEGORY_OF_WINNER
2-Jan-16,NewZeland,Sri Lanka,NaN,NaN,Nelson,No
2-Jan-16,Afganisthan,Zimbabwe,Zimbabwe,117 runs,Sharjah,Yes
4-Jan-16,Afganisthan,Zimbabwe,Zimbabwe,65 runs,Sharjah,Yes
5-Jan-16,NewZeland,Sri Lanka,NewZeland,36 runs,Mount Maunganui,Yes
6-Jan-16,Afganisthan,Zimbabwe,Afganisthan,2 wickets,Sharjah,Yes
12-Jan-16,Australia,India,Australia,5 wickets,Perth,Yes
15-Jan-16,Australia,India,Australia,7 wickets,Brisbane,Yes
17-Jan-16,Australia,India,Australia,3 wickets,Melbourne,Yes
20-Jan-16,Australia,India,Australia,25 runs,Canberra,Yes
23-Jan-16,Australia,India,India,6 wickets,Sydney,Yes
25-Jan-16,NewZeland,Pakistan,NewZeland,70 runs,Weillington,Yes
26-Jan-16,Hong Kong,Scotland,Hong Kong,109 runs,Mong Kok,Yes
27-Jan-16,UAE,Netherlands,Netherlands,7 wickets,Abu Dhabi,Yes
28-Jan-16,Hong Kong,Scotland,NaN,NaN,Mong Kok,No
29-Jan-16,UAE,Netherlands,Netherlands,6 runs,Abu Dhabi,Yes
31-Jan-16,NewZeland,Pakistan,NewZeland,3 wickets,Auckland,Yes
3-Feb-16,NewZeland,Australia,NewZeland,159 runs,Auckland,Yes
3-Feb-16,South Africa,England,England,39 runs,Bloemfontein,Yes
6-Feb-16,NewZeland,Australia,Australia,4 wickets,Weillington,Yes
6-Feb-16,South Africa,England,England,5 wickets,Gqeberha,Yes
8-Feb-16,NewZeland,Australia,NewZeland,55 runs,Hamilton,Yes
9-Feb-16,South Africa,england,South Africa,7 wickets,Centurion,Yes
12-Feb-16,South Africa,England,South Africa,1 wicket,Johanesburg,Yes
14-Feb-16,South Africa,England,South Africa,5 wickets,Capetown,Yes
16-Apr,Namibia,Nepal,Nepal,5 wickets,Kirtipur,Yes
18-Apr-16,Namibia,Nepal,Nepal,3 wickets,Kirtipur,Yes
28-May-16,Kenya,PNG,PNG,6 wickets,Port Moresby,Yes
30-May-16,Kenya,PNG,PNG,21 runs,Port Moresby,Yes
3-Jun-16,South Africa,West Indies,West Indies,4 wickets,Guyana,Yes
5-Jun-16,West Indies,Australia,Australia,6 wickets,Guyana,Yes
7-Jun-16,South Africa,Australia,South Africa,47 runs,Guyana,Yes
11-Jun-16,Australia,South Africa,Australia,36 runs,St Kitts,Yes
11-Jun-16,Zimbabwe,India,India,9 wickets,Harare,Yes
13-Jun-16,Zimbabwe,India,India,8 wickets,Harare,Yes
13-Jun-16,Australia,West Indies,West Indies,4 wickets,St Kitts,Yes
15-Jun-16,Zimbabwe,India,India,10 wickets,Harare,Yes
15-Jun-16,South Africa,West Indies,South Africa,139 runs,St Kitts,Yes
16-Jun-16,Sri Lanka,Ireland,Sri Lanka,76 runs,Dublin,Yes
18-Jun-16,Sri Lanka,Ireland,Sri Lanka,136 runs,Dublin,Yes
19-Jun-16,South Africa,Australia,NaN,NaN,Barbados,No
21-Jun-16,Sri Lanka,England,NaN,NaN,Nottingham,No
21-Jun-16,West Indies,Australia,Australia,6 wickets,Barbados,Yes
24-Jun-16,Sri Lanka,England,England,10 wickets,Birminham,Yes
24-Jun-16,West Indies,South Africa,West Indies,100 runs,Barbados,Yes
26-Jun-16,Sri Lanka,England,NaN,NaN,Bristol,No
26-Jun-16,Australia,West Indies,Australia,58 runs,Barbados,Yes
29-Jun-16,Sri Lanka,England,England,6 wickets,London,Yes
2-Jul-16,Sri Lanka,England,England,122 runs,Cardiff,Yes
4-Jul-16,Scotland,Afganisthan,NaN,NaN,Edinburgh,No
6-Jul-16,Scotland,Afganisthan,Afganisthan,78 runs,Edinburgh,Yes
12-Jul-16,Ireland,Afganisthan,Afganisthan,39 runs,Belfast,Yes
14-Jul-16,Ireland,Afganisthan,Ireland,6 wickets,Belfast,Yes
17-Jul-16,Ireland,Afganisthan,Afganisthan,79 runs,Belfast,Yes
19-Jul-16,Ireland,Afganisthan,Ireland,12 runs,Belfast,Yes
13-Aug-16,Nepal,Netherlands,Netherlands,7 wickets,Amstelveen,Yes
14-Aug-16,Scotland,UAE,Scotland,98 runs,Edinburgh,Yes
15-Aug-16,Nepal,Netherlands,Nepal,19 runs,Amstelveen,Yes
16-Aug-16,UAE,Scotland,Scotland,7 wickets,Edinburgh,Yes
18-Aug-16,Ireland,Pakistan,Pakistan,255 runs,Dublin,Yes
21-Aug-16,Sri Lanka,Australia,Australia,3 wickets,Colombo,Yes
24-Aug-16,Sri Lanka,Australia,Sri Lanka,82 runs,Colombo,Yes
24-Aug-16,England,Pakistan,England,44 runs,Southampton,Yes
27-Aug-16,England,Pakistan,England,4 wickets,Lords,Yes
28-Aug-16,Sri Lanka,Australia,Australia,2 wickets,Dambulla,Yes
30-Aug-16,England,Pakistan,England,169 runs,Nottingham,Yes
31-Aug-16,Sri Lanka,Australia,Australia,6 wickets,Dambulla,Yes
1-Sep-16,England,Pakistan,England,4 wickets,Leeds,Yes
4-Sep-16,Sri Lanka,Australia,Australia,5 wickets,Pallekele,Yes
4-Sep-16,England,Pakistan,Pakistan,4 wickets,Cardiff,Yes
8-Sep-16,Scotland,Hong Kong,NaN,NaN,Edinburgh,No
10-Sep-16,Scotland,Hong Kong,Scotland,53 runs,Edinburgh,Yes
25-Sep-16,Bangladesh,Afganisthan,Bangladesh,7 runs,Mirpur,Yes
25-Sep-16,South Africa,Ireland,South Africa,206 runs,Benoni,Yes
27-Sep-16,Australia,Ireland,Australia,9 wickets,Benoni,Yes
28-Sep-16,Bangladesh,Afganisthan,Afganisthan,2 wickets,Mirpur,Yes
30-Sep-16,South Africa,Australia,South Africa,6 wickets,Centurion,Yes
30-Sep-16,Pakistan,West Indies,Pakistan,111 runs,Sharjah,Yes
1-Oct-16,Bangladesh,Afganisthan,Bangladesh,141 runs,Mirpur,Yes
2-Oct-16,South Africa,Australia,South Africa,142 runs,Johanesburg,Yes
2-Oct-16,Pakistan,West Indies,Pakistan,59 runs,Sharjah,Yes
5-Oct-16,Pakistan,West Indies,Pakistan,136 runs,Abu Dhabi,Yes
5-Oct-16,South Africa,Australia,South Africa,4 wickets,Durban,Yes
7-Oct-16,Bangladesh,England,England,21 runs,Mirpur,Yes
9-Oct-16,South Africa,Australia,South Africa,6 wickets,Gqeberha,Yes
9-Oct-16,Bangladesh,England,Bangladesh,34 runs,Mirpur,Yes
12-Oct-16,Bangladesh,England,England,4 wickets,Chattogram,Yes
12-Oct-16,South Africa,Australia,South Africa,31 runs,Capetown,Yes
16-Oct-16,India,NewZeland,India,6 wickets,Dharamsala,Yes
20-Oct-16,India,NewZeland,NewZeland,6 runs,Delhi,Yes
21-Oct-16,Namibia,PNG,PNG,5 wickets,Port Moresby,Yes
23-Oct-16,India,NewZeland,India,7 wickets,Mohali,Yes
23-Oct-16,Namibia,PNG,PNG,6 wickets,Port Moresby,Yes
26-Oct-16,India,NewZeland,NewZeland,19 runs,Ranchi,Yes
29-Oct-16,India,NewZeland,India,190 runs,Visakhapatnam,Yes
4-Nov-16,Hong Kong,PNG,Hong Kong,106 runs,Mong Kok,Yes
6-Nov-16,Hong Kong,PNG,PNG,14 runs,Mong Kok,Yes
8-Nov-16,Hong Kong,PNG,Hong Kong,7 wickets,Mong Kok,Yes
14-Nov-16,Zimbabwe,Sri Lanka,Sri Lanka,8 wickets,Harare,Yes
16-Nov-16,Sri Lanka,West Indies,West Indies,62 runs,Harare,Yes
18-Nov-16,Hong Kong,Kenya,Kenya,3 wickets,Nairobi,Yes
19-Nov-16,Zimbabwe,West Indies,NaN,NaN,Bulawayo,No
20-Nov-16,Hong Kong,Kenya,Hong Kong,39 runs,Nairobi,Yes
21-Nov-16,Zimbabwe,Sri Lanka,NaN,NaN,Bulawayo,No
23-Nov-16,Sri Lanka,West Indies,Sri Lanka,1 run,Bulawayo,Yes
25-Nov-16,Zimbabwe,West Indies,Zimbabwe,5 runs,Bulawayo,Yes
27-Nov-16,Zimbabwe,Sri Lanka,Sri Lanka,6 wickets,Bulawayo,Yes
4-Dec-16,Australia,NewZeland,Australia,68 runs,Sydney,Yes
6-Dec-16,Australia,NewZeland,Australia,116 runs,Canberra,Yes
9-Dec-16,Australia,NewZeland,Australia,117 runs,Melbourne,Yes
26-Dec-16,NewZeland,Bangladesh,NewZeland,77 runs,Christchurch,Yes
29-Dec-16,NewZeland,Bangladesh,NewZeland,67 runs,Nelson,Yes
31-Dec-16,NewZeland,Bangladesh,NewZeland,8 wickets,Nelson,Yes
13-Jan-17,Australia,Pakistan,Australia,92 runs,Brisbane,Yes
15-Jan-17,India,England,India,3 wickets,Maharastra,Yes
15-Jan-17,Australia,Pakistan,Pakistan,6 wickets,Melbourne,Yes
19-Jan-17,India,England,India,15 runs,Barabati,Yes
19-Jan-17,Australia,Pakistan,Australia,7 wickets,Waca,Yes
22-Jan-17,Hong Kong,Scotland,Hong Kong,7 wickets,Abu Dhabi,Yes
22-Jan-17,India,England,England,5 runs,Eden Gardens,Yes
22-Jan-17,Australia,Pakistan,Australia,86 runs,Sydney,Yes
24-Jan-17,UAE,Scotland,UAE,4 wickets,Dubai,Yes
26-Jan-17,UAE,Hong Kong,UAE,6 wickets,Dubai,Yes
26-Jan-17,Australia,Pakistan,Australia,57 runs,Adelaide,Yes
28-Jan-17,South Africa,Sri Lanka,South Africa,8 wickets,St George's Park,Yes
30-Jan-17,NewZeland,Australia,NewZeland,6 runs,EdenPark,Yes
1-Feb-17,South Africa,Sri Lanka,South Africa,121 runs,Kingsmead,Yes
2-Feb-17,NewZeland,Australia,NaN,NaN,Mclean Park,No
4-Feb-17,South Africa,Sri Lanka,South Africa,7 wickets,wanderer's Stadium,Yes
5-Feb-17,NewZeland,Australia,NewZeland,24 runs,Seddon Park,Yes
7-Feb-17,South Africa,Sri Lanka,South Africa,40 runs,Newlands,Yes
10-Feb-17,South Africa,Sri Lanka,South Africa,88 runs,SuperSport Park,Yes
16-Feb-17,Zimbabwe,Afganisthan,Afganisthan,12 runs,Harare,Yes
19-Feb-17,NewZeland,South Africa,South Africa,4 wickets,Seddon Park,Yes
19-Feb-17,Zimbabwe,Afganisthan,Afganisthan,54 runs,Harare,Yes
21-Feb-17,Zimbabwe,Afganisthan,Zimbabwe,3 runs,Harare,Yes
22-Feb-17,NewZeland,South Africa,NewZeland,6 runs,Hagley Oval,Yes
24-Feb-17,Zimbabwe,Afganisthan,Zimbabwe,7 wickets,Harare,Yes
25-Feb-17,NewZeland,South Africa,South Africa,159 runs,Sky Stadium,Yes
26-Feb-17,Zimbabwe,Afganisthan,Afganisthan,106 runs,Harare,Yes
1-Mar-17,NewZeland,South Africa,NewZeland,7 wickets,Seddon Park,Yes
2-Mar-17,UAE,Ireland,Ireland,85 runs,ICC GCA,Yes
3-Mar-17,West Indies,England,West Indies,45 runs,SVVR Stadium,Yes
4-Mar-17,UAE,Ireland,Ireland,8 wickets,ICC GCA,Yes
4-Mar-17,NewZeland,South Africa,South Africa,6 wickets,EdenPark,Yes
5-Mar-17,West Indies,England,England,4 wickets,SVVR Stadium,Yes
9-Mar-17,West Indies,England,England,186 runs ,Kensington Oval,Yes
15-Mar-17,Afganisthan,Ireland,Afganisthan,30 runs,Greater Noida,Yes
17-Mar-17,Afganisthan,Ireland,Afganisthan,34 runs,Greater Noida,Yes
19-Mar-17,Afganisthan,Ireland,Ireland,6 wickets,Greater Noida,Yes
22-Mar-17,Afganisthan,Ireland,Ireland,3 wickets,Greater Noida,Yes
24-Mar-17,Afganisthan,Ireland,Afganisthan,7 wickets,Greater Noida,Yes
25-Mar-17,Sri Lanka,Bangladesh,Bangladesh,90 runs,Dambulla,Yes
28-Mar-17,Sri Lanka,Bangladesh,NaN,NaN,Dambulla,No
31-Mar-17,UAE,PNG,UAE,82 runs ,Abu Dhabi,Yes
1-Apr-17,Sri Lanka,Bangladesh,Sri Lanka,70 runs,Singhalese Sports club Ground,Yes
2-Apr-17,UAE,PNG,PNG,26 runs,Abu Dhabi,Yes
4-Apr-17,UAE,PNG,UAE,103 runs,Abu Dhabi,Yes
7-Apr-17,West Indies,Pakistan,West Indies,4 wickets,Providence stadium,Yes
9-Apr-17,West Indies,Pakistan,Pakistan,74 runs,Providence stadium,Yes
11-Apr-17,West Indies,Pakistan,Pakistan,6 wickets,Providence stadium,Yes
5-May-17,England,Ireland,England,7 wickets,Bristol,Yes
7-May-17,England,Ireland,England,85 runs,Lords,Yes
12-May-17,Ireland,Bangladesh,NaN,NaN,Village,No
14-May-17,Ireland,NewZeland,NewZeland,51 runs,Village,Yes
17-May-17,Bangladesh,NewZeland,NewZeland,4 wickets,Castle Avenue,Yes
19-May-17,Ireland,Bangladesh,Bangladesh,8 wickets,Village,Yes
21-May-17,Ireland,NewZeland,NewZeland,190 runs,Village,Yes
